,water2,water3,xtilt,ytilt
0,23.2,24.5,-5.401069159978118,-1.2103570157441939
1,23.21,24.49,-5.401915997271976,-1.209192700095973
2,23.21,24.49,-5.400917079246722,-1.2082570412902147
3,23.21,24.5,-5.40199568245253,-1.211055470776921
4,23.21,24.5,-5.401121532512666,-1.208787994047903
5,23.21,24.49,-5.40069514470359,-1.208809242506441
6,23.21,24.49,-5.4001538707795484,-1.1989323557810014
7,23.21,24.49,-5.399164256577441,-1.2067328772798491
8,23.21,24.5,-5.399792086043595,-1.2066852907675256
9,23.21,24.5,-5.400599200255597,-1.2098168356167311
10,23.23,24.5,-5.399132226248263,-1.208312735948719
11,23.21,24.5,-5.399918937445514,-1.2078908942262294
12,23.22,24.5,-5.399284701090431,-1.2074815939267518
13,23.22,24.5,-5.399307930919774,-1.2071975092017335
14,23.23,24.5,-5.400205217257043,-1.2066401916264577
15,23.22,24.5,-5.399423544980192,-1.2087264954846275
16,23.23,24.49,-5.398152006986531,-1.207170651239874
17,23.23,24.49,-5.397911786661696,-1.2059934606077913
18,23.23,24.49,-5.398052421939911,-1.2061275926505695
19,23.22,24.5,-5.39919446542887,-1.2067770644985025
20,23.23,24.51,-5.399122503983339,-1.2070882324442567
21,23.23,24.5,-5.398383202619161,-1.2089910444253478
22,23.22,24.5,-5.397943722138556,-1.2073546414294374
23,23.24,24.5,-5.3980290303218466,-1.2061138658157975
24,23.24,24.5,-5.3969759017498005,-1.2071629385899423
25,23.24,24.5,-5.397466657985306,-1.1959915801513552
26,23.24,24.51,-5.397430215249726,-1.205838076337052
27,23.24,24.5,-5.397983562708189,-1.2090021551116181
28,23.24,24.51,-5.396905947320776,-1.2065462846558181
29,23.25,24.51,-5.397976807275241,-1.206747919475904
30,23.24,24.5,-5.396316129994805,-1.2060287356536183
31,23.25,24.51,-5.396104022017076,-1.2054949776653896
32,23.25,24.51,-5.397118432454967,-1.2056698847815825
33,23.25,24.51,-5.397251018210931,-1.2076126820744149
34,23.25,24.51,-5.395822729103466,-1.2061013630979702
35,23.25,24.51,-5.396658139741246,-1.1962706779511323
36,23.25,24.51,-5.3954309129647875,-1.2045567385268519
37,23.24,24.51,-5.396106737201516,-1.2058624346308684
38,23.25,24.51,-5.395490204035825,-1.2049574675585888
39,23.24,24.5,-5.394188386851571,-1.2068762599022371
40,23.25,24.5,-5.39474257384291,-1.205246861502541
41,23.25,24.5,-5.3947647250709885,-1.195517989940819
42,23.25,24.51,-5.395671236800673,-1.1942626909858136
43,23.25,24.51,-5.395253777412209,-1.2054171587890203
